titles,videoIds,publishedAt,video_urls
"SENATE PROCEEDINGS, SPECIAL SITTING, 17TH DECEMBER 2020 AFTERNOON SESSION",YcHjTPYoS_k,2020-12-17T10:57:27Z,https://www.youtube.com/watch?v=YcHjTPYoS_k
"SENATE PROCEEDINGS, SPECIAL SITTING, 17TH DECEMBER 2020",OjJM_uRd-b0,2020-12-17T07:15:20Z,https://www.youtube.com/watch?v=OjJM_uRd-b0
"SENATE PROCEEDINGS, SPECIAL SITTING, 17TH DECEMBER 2020",rh7A4vQMn6s,2020-12-17T06:27:29Z,https://www.youtube.com/watch?v=rh7A4vQMn6s
"SENATE PROCEEDINGS, SPECIAL SITTING, 17TH DECEMBER 2020",Si8QjLIiDC0,2020-12-17T06:01:43Z,https://www.youtube.com/watch?v=Si8QjLIiDC0
"SENATE PROCEEDINGS, SPECIAL SITTING, 17TH DECEMBER 2020",MOamVtzstrg,2020-12-17T05:51:02Z,https://www.youtube.com/watch?v=MOamVtzstrg
"SENATE PROCEEDINGS, 16TH DECEMBER 2020",mYsy7fJCu1s,2020-12-16T16:45:59Z,https://www.youtube.com/watch?v=mYsy7fJCu1s
"SENATE PROCEEDINGS, 16TH DECEMBER 2020",Cf7SyeI4H1g,2020-12-16T10:50:01Z,https://www.youtube.com/watch?v=Cf7SyeI4H1g
"SENATE PROCEEDINGS, 16TH DECEMBER 2020",w0tVtVIMEhY,2020-12-16T07:58:33Z,https://www.youtube.com/watch?v=w0tVtVIMEhY
"SENATE PROCEEDINGS, 16TH DECEMBER 2020",11YI_HAYJNk,2020-12-16T06:18:49Z,https://www.youtube.com/watch?v=11YI_HAYJNk
"SENATE PROCEEDINGS, 9TH DECEMBER 2020",oSA-YC5pXJE,2020-12-09T10:43:22Z,https://www.youtube.com/watch?v=oSA-YC5pXJE
"SENATE PROCEEDINGS, 1ST DECEMBER 2020",d81ukfXrFdM,2020-12-01T10:52:04Z,https://www.youtube.com/watch?v=d81ukfXrFdM
"SENATE PROCEEDINGS, 24TH NOVEMBER 2020",hR1Whlpr4A8,2020-11-24T11:03:59Z,https://www.youtube.com/watch?v=hR1Whlpr4A8
Test Stream,-uvrZHSipp8,2020-11-19T04:51:44Z,https://www.youtube.com/watch?v=-uvrZHSipp8
"SENATE PROCEEDINGS,  17TH NOVEMBER 2020",asxgiin_Qe4,2020-11-17T13:38:59Z,https://www.youtube.com/watch?v=asxgiin_Qe4
"SENATE PROCEEDINGS,  17TH NOVEMBER 2020",dU88yEjBfRU,2020-11-17T13:26:41Z,https://www.youtube.com/watch?v=dU88yEjBfRU
"SENATE PROCEEDINGS,  17TH NOVEMBER 2020",klV5CdPIekc,2020-11-17T12:30:47Z,https://www.youtube.com/watch?v=klV5CdPIekc
"NATIONAL ASSEMBLY PROCEEDINGS,  17TH NOVEMBER 2020",xOF6gBPyCi0,2020-11-17T12:22:28Z,https://www.youtube.com/watch?v=xOF6gBPyCi0
"NATIONAL ASSEMBLY PROCEEDINGS,  17TH NOVEMBER 2020",WwrqENDdj0U,2020-11-17T11:59:10Z,https://www.youtube.com/watch?v=WwrqENDdj0U
"SENATE PROCEEDINGS,  17TH NOVEMBER 2020",jM9g6EmjhRE,2020-11-17T11:34:46Z,https://www.youtube.com/watch?v=jM9g6EmjhRE
