titles,videoIds,publishedAt,video_urls
"JM: PC on COGTAand Select Committee on COGTA, Water and Sanitation and Human Settlements,  14 May 20",68Pcindzx5Y,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=68Pcindzx5Y
"JM: PC on Employment and Labour and SC on DTI, Economic Development, Tourism, Labour, 14 May 2020",yJSGBGISVd0,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=yJSGBGISVd0
"Portfolio Committee on Communications, 14 May 2020",JVWnCH3x7sg,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=JVWnCH3x7sg
"JM: PC on Higher Education, Science & Technology and SC on Education,  Sports, Arts & Culture, 14 Ma",77od1HJWVBI,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=77od1HJWVBI
"Portfolio Committee on Defence, 15 May 2020",nqZck9TgW-0,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=nqZck9TgW-0
"PC on Higher Education,  & SC on Education, Technology, Sports, Arts & Culture 15 May 2020",7oQVCb0kOdA,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=7oQVCb0kOdA
"JM: SC on Public Accounts and PC on Public Enterprises, 15 May 2020",z_fv3rvIc-8,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=z_fv3rvIc-8
"Portfolio Committee on Justice and Correctional Services, 15 May 2020",V9QIIhUB0jA,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=V9QIIhUB0jA
"JM: PC on Environment, Forestry & Fisheries and SC on Land Reform, Environment, Mineral Resources &",Mx9jUohsvxM,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=Mx9jUohsvxM
"Portfolio Committee on Communications, 15 May 2020",XU3b-p3ZdN0,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=XU3b-p3ZdN0
"JM: Portfolio Committee on COGTA & SC on COGTA, Water & Sanitation & Human Settlements, 15 May 2020",xFseY2KKbp8,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=xFseY2KKbp8
"Portfolio Committee on Justice and Correctional Services, 16 May 2020",4T8f0RmtNNE,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=4T8f0RmtNNE
"Portfolio Committee on Communications, 16 May 2020",yQG2wUIAHig,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=yQG2wUIAHig
"Portfolio Committee on Justice and Correctional Services, 18 May 2020",LKLj7aoeiM0,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=LKLj7aoeiM0
"Portfolio Committee on Transport, 18 May 2020",XpNHXTfARGQ,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=XpNHXTfARGQ
"Select Committee on Security and Justice, 18 May 2020",yuJYoH_kVnk,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=yuJYoH_kVnk
"Select Committee on COGTA, Water and Sanitation and Human Settlements, 18 May 2020",r5RZk-wLORw,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=r5RZk-wLORw
"Copy of Select Committee on COGTA, Water and Sanitation and Human Settlements, 18 May 2020",GJcVi_64Q_0,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=GJcVi_64Q_0
Private video,_bQw946aWwA,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=_bQw946aWwA
"NCOP Programme Committee, 19 May 2020",gBmR2GIs_Ps,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=gBmR2GIs_Ps
"JM: PC on DTI and SC on DTI, Economic Development, Small Business , Tourism,  Labour,19 May 2020",JG3ZEG7JpBo,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=JG3ZEG7JpBo
"JM: SC on Finance and SC on Finance, 19 May 2020",JMJUm4QEYUY,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=JMJUm4QEYUY
"National Assembly Rules Committee, 19 May 2020",C27Wn7YxBsE,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=C27Wn7YxBsE
"National Assembly Rules Committee, 19 May 2020",0bCTxxOhy78,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=0bCTxxOhy78
"Copy of National Assembly Rules Committee, 19 May 2020",RAzoeS7deYs,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=RAzoeS7deYs
"PC on Human Settlements, Water and Sanitation,19 May 2020",MQnn6ijVv-0,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=MQnn6ijVv-0
"Portfolio Committee on Mineral Resources and Energy, 19 May 2020",vFkG3t6G9LQ,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=vFkG3t6G9LQ
"Portfolio Committee on Higher Education, Science and Technology,19 May 2020",so8NX2Kuo8w,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=so8NX2Kuo8w
"Portfolio Committee on Home Affairs,19 May 2020",u1IdSTQzgcU,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=u1IdSTQzgcU
"Portfolio Committee on Communications,19 May 2020",9NRwixZJd0k,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=9NRwixZJd0k
"Portfolio Committee on Mineral Resources and Energy,19 May 2020",v3fvJASAepY,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=v3fvJASAepY
"Standing Committee on Appropriations, 20 May 2020",NDs6n_ZodF4,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=NDs6n_ZodF4
"Portfolio Committee on Public Works and Infrastructure, 20 May 2020",ftWHuGV_uhw,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=ftWHuGV_uhw
Joint Meeting: Portfolio Committee on Public Enterprises and Select Committee on Public Enterprises,4T7cOYhEm4w,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=4T7cOYhEm4w
"Joint Meeting: Portfolio Committee on Sports, Arts and Culture and Select Committee on Education and",qr2CwUD_tkE,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=qr2CwUD_tkE
Private video,eaEL7c0Fmq4,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=eaEL7c0Fmq4
"Portfolio Committee on Higher Education, Science and Technology, 20 May 2020",KIiy-wSfi4U,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=KIiy-wSfi4U
Joint Meeting: Portfolio Committee on Employment and Labour and Select Committee on Trade and Indust,j1rpzTAmICE,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=j1rpzTAmICE
"National Assembly Programming Meeting, 21 May 2020",c6E5BA1QUUQ,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=c6E5BA1QUUQ
"Portfolio Committee on Social Development, 21 May 2020",RE5qOeUmQHs,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=RE5qOeUmQHs
"Portfolio Committee on Small Business Development, 21 May 2020",ztXgiqNYjXY,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=ztXgiqNYjXY
"Portfolio Committee on Public Service and Administration, 21 May 2020",4eLw4dreuOo,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=4eLw4dreuOo
"Portfolio Committee on Small Business Development, 21 May 2020",P3VR-ZyVuqk,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=P3VR-ZyVuqk
"JM: PC on Human Settlements,  & SC on COGTA, Water, Sanitation &Human Settlements, 21 May 2020",9M_2alSiHaM,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=9M_2alSiHaM
"Portfolio Committee on Cooperative Governance and Traditional Affairs,21 May 2020",AmdNhgpP9RA,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=AmdNhgpP9RA
"Portfolio Committee on Communications, 21 May 2020",FclErfxY4Ak,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=FclErfxY4Ak
"Portfolio Committee on Trade and Industry, 22 May 2020",SAXg37YxaDw,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=SAXg37YxaDw
"Portfolio Committee on Defence and Military Veterans, 22 May 2020",XJ_OKo2TrP4,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=XJ_OKo2TrP4
"Portfolio Committee on Higher Education, Science and Technology, 22 May 2020",UYd0oGsZAW4,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=UYd0oGsZAW4
"Portfolio Committee on Human Settlements, Water and Sanitation, 22 May 2020",EoIXlPcnGAQ,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=EoIXlPcnGAQ
Multi-Party Women’s Caucus (Steering Committee) 22 May 2020,h9fkwc1PKCM,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=h9fkwc1PKCM
"Portfolio Committee on Justice and Correctional Services, 22 May 2020",TB4YqPQjNJo,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=TB4YqPQjNJo
"Portfolio Committee on Justice and Correctional Services, 22 May 2020",e2YnloZWR80,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=e2YnloZWR80
"Select Committee on Land Reform, Environment, Mineral Resources and Energy 22 May 2020",qi6HQeJOvb4,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=qi6HQeJOvb4
"JM: PC on Police and Select Committee on Security and Justice,  22 May 2020",JfCHdh_jy9M,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=JfCHdh_jy9M
"Standing Committee on the Auditor-General, 22 May 2020",mYhMYdA0-cs,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=mYhMYdA0-cs
"Ad Hoc Committee on amending Section 25 of the Constitution,",apZ0rG9roxI,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=apZ0rG9roxI
"Portfolio Committee on International Relations and Cooperation, 21 May 2020",JQskr9rfyF4,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=JQskr9rfyF4
"Portfolio Committee on International Relations and Cooperation, 21 May 2020",HCjZ8SCivmg,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=HCjZ8SCivmg
"Portfolio Committee on Transport, 26 May 2020",YqPuMq-9K7k,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=YqPuMq-9K7k
